Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,9.160000,9.330000,9.150000,9.280000,6.722824,1020900
2017-01-04,9.310000,9.410000,9.220000,9.400000,6.809756,549000
2017-01-05,9.440000,9.640000,9.440000,9.560000,6.925668,1154800
2017-01-06,9.560000,9.670000,9.450000,9.490000,6.874957,794200
2017-01-09,9.360000,9.390000,9.240000,9.300000,6.737313,639900
2017-01-10,9.340000,9.400000,9.310000,9.370000,6.788024,473800
2017-01-11,9.430000,9.530000,9.360000,9.500000,6.882201,738800
2017-01-12,9.570000,9.710000,9.530000,9.540000,6.911179,1265000
2017-01-13,9.420000,9.530000,9.390000,9.450000,6.845978,759900
2017-01-17,9.500000,9.620000,9.480000,9.560000,6.925668,1169300
2017-01-18,9.430000,9.540000,9.390000,9.420000,6.824246,949800
2017-01-19,9.440000,9.540000,9.380000,9.390000,6.802513,1232000
2017-01-20,9.520000,9.580000,9.470000,9.500000,6.882201,1068400
2017-01-23,9.420000,9.560000,9.420000,9.560000,6.925668,934100
2017-01-24,9.580000,9.620000,9.510000,9.520000,6.896689,923700
2017-01-25,9.480000,9.540000,9.410000,9.460000,6.853223,1758200
2017-01-26,9.480000,9.500000,9.410000,9.450000,6.845978,549800
2017-01-27,9.340000,9.480000,9.340000,9.440000,6.838734,1069500
2017-01-30,9.360000,9.420000,9.280000,9.310000,6.744556,1726600
2017-01-31,9.370000,9.450000,9.330000,9.400000,6.809756,904200
2017-02-01,9.480000,9.610000,9.410000,9.580000,6.940156,1082900
2017-02-02,9.650000,9.670000,9.540000,9.620000,6.969134,855600
2017-02-03,9.650000,9.750000,9.640000,9.670000,7.005357,849900
2017-02-06,9.630000,9.700000,9.500000,9.530000,6.903934,1659000
2017-02-07,9.450000,9.510000,9.380000,9.450000,6.845978,1672700
2017-02-08,9.380000,9.420000,9.290000,9.420000,6.824246,779900
2017-02-09,9.530000,9.540000,9.430000,9.430000,6.831490,851900
2017-02-10,9.560000,9.630000,9.480000,9.620000,6.969134,967700
2017-02-13,9.540000,9.570000,9.430000,9.560000,6.925668,582700
2017-02-14,9.570000,9.590000,9.470000,9.510000,6.889446,902600
2017-02-15,9.460000,9.490000,9.360000,9.470000,6.860468,1464300
2017-02-16,9.500000,9.560000,9.390000,9.390000,6.802513,959000
2017-02-17,9.320000,9.340000,9.230000,9.280000,6.722824,1200000
2017-02-21,9.320000,9.340000,9.200000,9.270000,6.715580,1237400
2017-02-22,9.180000,9.180000,9.010000,9.010000,6.527224,1098600
2017-02-23,9.160000,9.290000,9.110000,9.290000,6.730068,2403400
2017-02-24,9.210000,9.210000,9.040000,9.080000,6.577935,1280500
2017-02-27,9.100000,9.190000,9.060000,9.170000,6.643135,739100
2017-02-28,9.080000,9.130000,8.990000,9.020000,6.534469,656400
2017-03-01,9.020000,9.040000,8.840000,8.910000,6.454780,1324700
2017-03-02,8.790000,8.870000,8.690000,8.760000,6.346113,643900
2017-03-03,8.780000,8.930000,8.740000,8.860000,6.418557,502300
2017-03-06,8.960000,8.980000,8.730000,8.790000,6.367846,1095200
2017-03-07,8.790000,8.950000,8.790000,8.900000,6.447536,808400
2017-03-08,8.830000,8.870000,8.600000,8.610000,6.237447,1546300
2017-03-09,8.580000,8.690000,8.440000,8.680000,6.288158,976000
2017-03-10,8.760000,8.840000,8.710000,8.840000,6.404068,1174400
2017-03-13,8.840000,8.870000,8.760000,8.780000,6.360602,627000
2017-03-14,8.690000,8.700000,8.510000,8.600000,6.230203,978100
2017-03-15,8.720000,8.980000,8.650000,8.970000,6.498247,906200
2017-03-16,9.020000,9.030000,8.890000,8.960000,6.491002,1147700
2017-03-17,9.000000,9.070000,8.930000,8.930000,6.469268,901300
2017-03-20,8.860000,9.080000,8.850000,9.050000,6.556202,562100
2017-03-21,9.080000,9.120000,8.970000,9.030000,6.541712,807900
2017-03-22,9.000000,9.010000,8.910000,8.950000,6.483757,1329100
2017-03-23,8.920000,9.080000,8.920000,8.980000,6.505490,721400
2017-03-24,8.990000,9.110000,8.990000,9.050000,6.556202,532000
2017-03-27,8.950000,9.040000,8.900000,8.940000,6.476512,470600
2017-03-28,8.990000,9.120000,8.920000,9.100000,6.592424,988200
2017-03-29,9.120000,9.340000,9.120000,9.330000,6.759046,972200
2017-03-30,9.380000,9.380000,9.260000,9.270000,6.715580,625400
2017-03-31,9.240000,9.390000,9.240000,9.320000,6.751801,588900
2017-04-03,9.300000,9.400000,9.260000,9.380000,6.795267,662400
2017-04-04,9.380000,9.480000,9.320000,9.480000,6.867711,730800
2017-04-05,9.550000,9.630000,9.400000,9.420000,6.824246,1282200
2017-04-06,9.500000,9.590000,9.440000,9.470000,6.860468,1119100
2017-04-07,9.480000,9.630000,9.480000,9.560000,6.925668,1178200
2017-04-10,9.620000,9.730000,9.590000,9.720000,7.041577,757000
2017-04-11,9.740000,9.760000,9.650000,9.720000,7.041577,1087800
2017-04-12,9.730000,9.750000,9.570000,9.610000,6.961889,1086300
2017-04-13,9.670000,9.670000,9.270000,9.280000,6.722824,1396900
2017-04-17,9.380000,9.650000,9.380000,9.630000,6.976379,970600
2017-04-18,9.570000,9.690000,9.550000,9.620000,6.969134,876900
2017-04-19,9.600000,9.690000,9.460000,9.490000,6.874957,2229200
2017-04-20,9.490000,9.630000,9.480000,9.600000,6.954646,2074700
2017-04-21,9.600000,9.640000,9.410000,9.410000,6.817001,1641700
2017-04-24,9.470000,9.670000,9.470000,9.550000,6.918424,785000
2017-04-25,9.410000,9.430000,9.290000,9.420000,6.941266,1063200
2017-04-26,9.340000,9.440000,9.300000,9.330000,6.874948,999800
2017-04-27,9.220000,9.240000,9.020000,9.060000,6.675995,2106500
2017-04-28,9.120000,9.180000,9.050000,9.140000,6.734944,957600
2017-05-01,9.100000,9.160000,9.020000,9.080000,6.690732,472700
2017-05-02,9.090000,9.170000,9.030000,9.030000,6.653888,2101900
2017-05-03,9.080000,9.240000,9.020000,9.210000,6.786524,1058100
2017-05-04,9.110000,9.110000,8.940000,8.970000,6.609676,1105800
2017-05-05,8.980000,9.280000,8.950000,9.270000,6.830736,1338800
2017-05-08,9.320000,9.360000,9.230000,9.320000,6.867579,2104400
2017-05-09,9.350000,9.350000,9.230000,9.260000,6.823368,879500
2017-05-10,9.370000,9.450000,9.310000,9.390000,6.919160,1095700
2017-05-11,9.400000,9.430000,9.300000,9.300000,6.852841,2222500
2017-05-12,9.530000,9.950000,9.490000,9.900000,7.294960,2599300
2017-05-15,10.030000,10.340000,10.000000,10.240000,7.545494,2004200
2017-05-16,10.280000,10.360000,10.050000,10.110000,7.449702,1305000
2017-05-17,10.080000,10.090000,9.750000,9.750000,7.184431,1588000
2017-05-18,9.530000,9.710000,9.360000,9.620000,7.088639,1631700
2017-05-19,9.720000,9.970000,9.720000,9.940000,7.324435,770300
2017-05-22,9.930000,9.960000,9.740000,9.820000,7.236011,946300
2017-05-23,9.870000,9.870000,9.730000,9.770000,7.199169,593100
2017-05-24,9.730000,9.820000,9.680000,9.700000,7.147587,626600
2017-05-25,9.670000,9.780000,9.480000,9.500000,7.000216,981500
2017-05-26,9.550000,9.600000,9.460000,9.590000,7.066533,733100
2017-05-30,9.490000,9.500000,9.350000,9.360000,6.897053,613200
2017-05-31,9.170000,9.240000,8.900000,9.130000,6.727575,2542700
2017-06-01,9.190000,9.350000,9.130000,9.210000,6.786524,1061900
